iter	Logloss
0	0.6866809177
1	0.6809310687
2	0.6748855027
3	0.6695582965
4	0.6644962293
5	0.6590488938
6	0.6534343863
7	0.6482021424
8	0.6432140527
9	0.6402304832
10	0.6350905561
11	0.6302661076
12	0.6244917916
13	0.6195256429
14	0.6147291827
15	0.6121582918
16	0.6069376406
17	0.602567499
18	0.5976159167
19	0.5930592811
20	0.5884600167
21	0.5851007123
22	0.5811571642
23	0.5773938304
24	0.5738701844
25	0.5704172628
26	0.5664472372
27	0.5627992291
28	0.5594483544
29	0.5567801059
30	0.5530134166
31	0.5494655439
32	0.546313394
33	0.5431087041
34	0.5405548627
35	0.5372007288
36	0.5350336001
37	0.5320548204
38	0.5291414973
39	0.5277296938
40	0.5255906987
41	0.5224558606
42	0.5201181279
43	0.5176017874
44	0.5162008294
45	0.5133529719
46	0.5107986791
47	0.5088976464
48	0.5066265859
49	0.5053036369
50	0.5026366245
51	0.5000836374
52	0.4980292609
53	0.4956637063
54	0.4937690989
55	0.4915959485
56	0.489409505
57	0.4884072724
58	0.4864773458
59	0.4843377292
60	0.4822794768
61	0.4804122149
62	0.4781558205
63	0.476572436
64	0.4747441954
65	0.4727928006
66	0.4709873299
67	0.4698440502
68	0.4683736059
69	0.4669081221
70	0.4651173241
71	0.4632497103
72	0.4622367324
73	0.4606378397
74	0.4590309411
75	0.4577086899
76	0.4568712685
77	0.4555822495
78	0.4542540886
79	0.4532565328
80	0.4521529904
81	0.4509137777
82	0.4496717303
83	0.4479457235
84	0.4474701403
85	0.4459836543
86	0.4452296164
87	0.4440252412
88	0.4425853782
89	0.4413175869
90	0.4403806731
91	0.4394638954
92	0.4383973582
93	0.4379301808
94	0.4367309609
95	0.4360787528
96	0.4348637825
97	0.4338712089
98	0.432710003
99	0.4318474431
100	0.4306854986
101	0.4300609206
102	0.4288938308
103	0.4279224208
104	0.4270362815
105	0.4262428203
106	0.4256077988
107	0.4245591328
108	0.423602497
109	0.4226370275
110	0.4215689271
111	0.4211884848
112	0.4203664236
113	0.4198003965
114	0.4189438674
115	0.4180311276
116	0.4172125324
117	0.4167426322
118	0.4163298941
119	0.4154737213
120	0.4148068375
121	0.4140087079
122	0.4132965749
123	0.4128480581
124	0.4126626543
125	0.4118210224
126	0.4112798551
127	0.4111023182
128	0.4106518679
129	0.4099341059
130	0.4097689517
131	0.4091956102
132	0.4086248575
133	0.4079178741
134	0.4072073665
135	0.4067756623
136	0.4061710195
137	0.4057714076
138	0.4052649044
139	0.4051275841
140	0.4045332602
141	0.4040055176
142	0.4033553241
143	0.4027243976
144	0.4021659369
145	0.4020377729
146	0.4013884681
147	0.40067038
148	0.4000441462
149	0.3995789414
150	0.3991921579
151	0.3990451618
152	0.3985344017
153	0.3981919066
154	0.397851096
155	0.3973120973
156	0.3969120972
157	0.3964487615
158	0.3961952268
159	0.395784761
160	0.3950958926
161	0.3948112762
162	0.3943183164
163	0.3940402171
164	0.3936444092
165	0.3931300359
166	0.3928762889
167	0.3922895209
168	0.3921303168
169	0.3918840148
170	0.3914058072
171	0.3911872194
172	0.3907723744
173	0.3906800028
174	0.3902349252
175	0.3898661556
176	0.3896426665
177	0.3892204549
178	0.3887395747
179	0.3885778334
180	0.3882188308
181	0.3878651829
182	0.3874285462
183	0.3870893153
184	0.3866431417
185	0.3862539696
186	0.3857730293
187	0.3855058244
188	0.3852166888
189	0.3849637423
190	0.3846757041
191	0.3843584086
192	0.3839509094
193	0.3836764446
194	0.3835459693
195	0.3832792917
196	0.3829217386
197	0.3825046883
198	0.3824122462
199	0.3819195866
200	0.3817497206
201	0.3816692928
202	0.381098922
203	0.3808114801
204	0.3806915428
205	0.3804678783
206	0.3800582661
207	0.3798439486
208	0.3794580682
209	0.3791675028
210	0.3788232659
211	0.3785224402
212	0.3780725982
213	0.3776021508
214	0.3774029851
215	0.3771776425
216	0.3769994362
217	0.3767470681
218	0.3767204169
219	0.3764782359
220	0.3762861985
221	0.3761587463
222	0.3761116203
223	0.3756186649
224	0.3752850229
225	0.3750792662
226	0.3746893617
227	0.3744001996
228	0.374274928
229	0.3739986597
230	0.3737164148
231	0.3734837688
232	0.3734626203
233	0.3731858037
234	0.3729154686
235	0.3726571941
236	0.3723803693
237	0.372127101
238	0.3720698914
239	0.3718328019
240	0.37143665
241	0.3711947364
242	0.3711660314
243	0.3709385096
244	0.3705195279
245	0.3703700937
246	0.3702416099
247	0.3698608957
248	0.369605963
249	0.3694178829
250	0.3691318337
251	0.3690879175
252	0.3689436216
253	0.368629608
254	0.3683349168
255	0.3680316653
256	0.3678605704
257	0.3676097727
258	0.3673051602
259	0.3672314109
260	0.3670377604
261	0.3669873588
262	0.3668075227
263	0.3665305172
264	0.3662348415
265	0.3660305701
266	0.3658630189
267	0.3655236285
268	0.3653966393
269	0.3650909969
270	0.3649523666
271	0.3646475889
272	0.3644311766
273	0.3642112999
274	0.3640122042
275	0.3639832782
276	0.3637219954
277	0.3634666572
278	0.3632314726
279	0.3632236615
280	0.3630040881
281	0.3629963857
282	0.3626800798
283	0.3625232843
284	0.3622901763
285	0.362013776
286	0.36182366
287	0.3615564348
288	0.3615487015
289	0.3613569137
290	0.3613132079
291	0.3612539392
292	0.3610599058
293	0.3607452032
294	0.3604297487
295	0.3603136902
296	0.3601751788
297	0.3600226129
298	0.3598569045
299	0.359687479
300	0.3594931877
301	0.3594265663
302	0.359290836
303	0.3591418316
304	0.3589826086
305	0.3588171145
306	0.3586850259
307	0.3584910736
308	0.358109634
309	0.3579438663
310	0.3578735334
311	0.3576994469
312	0.3574848475
313	0.3573445507
314	0.3571609339
315	0.3569486726
316	0.3567445638
317	0.3566057609
318	0.3563723319
319	0.3562299575
320	0.3560435736
321	0.3558303472
322	0.3556145611
323	0.3555202598
324	0.3553630331
325	0.3552392779
326	0.3550713448
327	0.355047327
328	0.3548350779
329	0.3545976062
330	0.3543550529
331	0.3541244981
332	0.3539352592
333	0.35383527
334	0.3538089092
335	0.3536891363
336	0.3533747209
337	0.35326858
338	0.3530157648
339	0.3527905557
340	0.3526701247
341	0.3524724308
342	0.352270651
343	0.3521480026
344	0.3520830612
345	0.3520734641
346	0.3519653579
347	0.3517833623
348	0.3516613531
349	0.3516181526
350	0.3514541083
351	0.3513110931
352	0.3511453035
353	0.3511158729
354	0.351050418
355	0.3509389205
356	0.350868411
357	0.350755072
358	0.35062419
359	0.3504996022
360	0.3503033604
361	0.3501925156
362	0.350107223
363	0.350011838
364	0.3499692326
365	0.3498915133
366	0.3497861947
367	0.3496361056
368	0.3495419779
369	0.3493899164
370	0.3492699663
371	0.3490512465
372	0.348849727
373	0.348596551
374	0.3485034725
375	0.3484367878
376	0.3484232364
377	0.3482673437
378	0.3480878123
379	0.3480092812
380	0.3478553395
381	0.3478530199
382	0.3478145499
383	0.3476918491
384	0.3475414545
385	0.3475270643
386	0.3474666878
387	0.3472408101
388	0.3470849826
389	0.3470090566
390	0.346895553
391	0.3468938316
392	0.3468496514
393	0.3465573216
394	0.3464943147
395	0.3462808058
396	0.3462227982
397	0.3461336071
398	0.3460277573
399	0.3459036848
400	0.3458081087
401	0.3456388818
402	0.3454825648
403	0.3453164169
404	0.3451631156
405	0.345015169
406	0.3449395937
407	0.3448284433
408	0.3448265777
409	0.3446729118
410	0.3446503385
411	0.3444886735
412	0.3444838786
413	0.344409928
414	0.3443101827
415	0.3442409797
416	0.3441228314
417	0.3441201869
418	0.3439624814
419	0.343711018
420	0.3435803145
421	0.343499819
422	0.3433470409
423	0.3432405555
424	0.3431413332
425	0.3429305895
426	0.3428920963
427	0.3426703749
428	0.3425242222
429	0.3423219687
430	0.3421411368
431	0.3420986717
432	0.3418352836
433	0.3417178094
434	0.3415852987
435	0.3414535984
436	0.3413625377
437	0.3413255083
438	0.3412976794
439	0.3410765933
440	0.340957557
441	0.3408816689
442	0.3407219997
443	0.3405336907
444	0.3403882124
445	0.3403421795
446	0.3400896623
447	0.3398772823
448	0.3397132682
449	0.3396303279
450	0.3393500457
451	0.3391789902
452	0.3390818767
453	0.3389330773
454	0.3387613039
455	0.3385753891
456	0.3384834218
457	0.3384280391
458	0.3382779105
459	0.3381837352
460	0.3379395314
461	0.3377159795
462	0.3376909005
463	0.3376886105
464	0.33759411
465	0.3375130976
466	0.33743871
467	0.3374383446
468	0.337188675
469	0.3371197165
470	0.3370833796
471	0.3368127434
472	0.3367074592
473	0.3365758223
474	0.3364591151
475	0.3363190795
476	0.3361917512
477	0.3361464161
478	0.3360974179
479	0.3359797184
480	0.3359578171
481	0.3358271347
482	0.3357038122
483	0.3355583234
484	0.3354504769
485	0.3352084418
486	0.335145331
487	0.3350650114
488	0.3349625151
489	0.3348289375
490	0.3348242675
491	0.3347302567
492	0.3345068358
493	0.3341456103
494	0.3340047187
495	0.3338977139
496	0.3338185694
497	0.3336574599
498	0.3336054644
499	0.3335375208
500	0.3333000398
501	0.3331464942
502	0.3330295813
503	0.3328844283
504	0.3328730474
505	0.3327287364
506	0.3326757664
507	0.3326549677
508	0.3325368874
509	0.3324522763
510	0.3324414739
511	0.3323349856
512	0.3321647803
513	0.3321444301
514	0.3320576986
515	0.3319927499
516	0.3319100106
517	0.3317555316
518	0.3315991676
519	0.3315725215
520	0.3315056264
521	0.3314058265
522	0.3311822421
523	0.3311009378
524	0.3309419877
525	0.3307109586
526	0.3304797304
527	0.3303864376
528	0.3302783789
529	0.3302682451
530	0.3300600532
531	0.3299517663
532	0.3298277829
533	0.3296066232
534	0.3295400749
535	0.3295132089
536	0.3294774121
537	0.3294675184
538	0.3293483246
539	0.3292793327
540	0.3291736299
541	0.3291128845
542	0.328878126
543	0.3287615083
544	0.3287084463
545	0.3286841575
546	0.3285363816
547	0.3283417586
548	0.3283323113
549	0.3282583195
550	0.3281466995
551	0.3279754538
552	0.3277855644
553	0.327743631
554	0.3276670824
555	0.3276243715
556	0.327493233
557	0.3273582676
558	0.3273173017
559	0.3271908499
560	0.3271692643
561	0.3269799886
562	0.3269066795
563	0.3267747472
564	0.326656253
565	0.3265176398
566	0.326267769
567	0.3260867239
568	0.3259504755
569	0.3258068224
570	0.3257338407
571	0.325515823
572	0.3254175831
573	0.3253359853
574	0.3252332603
575	0.3250309774
576	0.3249361563
577	0.3248307809
578	0.3246238879
579	0.3244867811
580	0.324401075
581	0.3243834159
582	0.3243141006
583	0.3241967311
584	0.3240907373
585	0.3240339511
586	0.3239309505
587	0.3238980233
588	0.3237975528
589	0.3236496231
590	0.3235935168
591	0.3234711983
592	0.3233312929
593	0.3233104481
594	0.3232413014
595	0.3231594538
596	0.322986388
597	0.3228723882
598	0.3228104216
599	0.3226925564
600	0.3226589502
601	0.3226247058
602	0.3225251803
603	0.3224895784
604	0.3224771701
605	0.3224230985
606	0.3222659774
607	0.3220523129
608	0.3219746692
609	0.3218878792
610	0.3217827603
611	0.3216542321
612	0.321631549
613	0.3215302482
614	0.3214413979
615	0.3213101203
616	0.3211991072
617	0.3211116388
618	0.3209953175
619	0.3209151946
620	0.3207239352
621	0.3206499486
622	0.3205675115
623	0.3204336757
624	0.3203162359
625	0.3202934111
626	0.3202814116
627	0.3201954639
628	0.3201558203
629	0.3201014899
630	0.3199982012
631	0.3199249381
632	0.3198966626
633	0.3197651699
634	0.3197457791
635	0.3196240709
636	0.3195556618
637	0.3195451762
638	0.3194312783
639	0.3192769917
640	0.3191576828
641	0.3190678181
642	0.3188205086
643	0.3187927561
644	0.3187180091
645	0.3186747323
646	0.3186199244
647	0.3185254018
648	0.3184675637
649	0.3184227085
650	0.3183647326
651	0.318300582
652	0.3181241092
653	0.3180420586
654	0.3179011845
655	0.317666672
656	0.3176617523
657	0.3174444656
658	0.3173648306
659	0.3172899775
660	0.3171775454
661	0.3170419391
662	0.3170039485
663	0.3168334317
664	0.3166647372
665	0.3165537826
666	0.3165277495
667	0.3163893059
668	0.3162867138
669	0.3162048282
670	0.3160843835
671	0.3160201507
672	0.3159842361
673	0.3158970955
674	0.3158637442
675	0.3157585952
676	0.3155100187
677	0.3154504283
678	0.3152542619
679	0.3151333907
680	0.315097702
681	0.3150192675
682	0.3149499819
683	0.3148794347
684	0.3147404899
685	0.3146055695
686	0.3144933479
687	0.31437589
688	0.3141787941
689	0.314027673
690	0.3137673634
691	0.313688895
692	0.3136234867
693	0.3135499526
694	0.3134422871
695	0.313364271
696	0.313277384
697	0.3131825832
698	0.3131084699
699	0.3130759002
700	0.3129814912
701	0.3128395642
702	0.3128159311
703	0.3126594413
704	0.3125846788
705	0.3124995956
706	0.3123961656
707	0.312210427
708	0.3121785595
709	0.3121282789
710	0.3120815863
711	0.3119642038
712	0.3118613185
713	0.3116341434
714	0.3115459434
715	0.3115153599
716	0.3113814949
717	0.3110719515
718	0.3110633629
719	0.3108144495
720	0.3105902794
721	0.3104452865
722	0.3103943326
723	0.3103374082
724	0.3102944803
725	0.3100418709
726	0.3098350344
727	0.30976673
728	0.3097104825
729	0.3096698262
730	0.3096381616
731	0.3095321627
732	0.3093646827
733	0.3092672057
734	0.3091541666
735	0.3090815402
736	0.3089209701
737	0.3086227614
738	0.3085327206
739	0.3085138526
740	0.3083816539
741	0.3083682854
742	0.3082419826
743	0.3081846565
744	0.3080558154
745	0.3079514296
746	0.3078171846
747	0.3076742645
748	0.3076456747
749	0.3075113501
750	0.3074365435
751	0.3073970334
752	0.3072612464
753	0.3071991425
754	0.3070282684
755	0.3070157044
756	0.3069189677
757	0.3068340116
758	0.3067067085
759	0.306606891
760	0.3064485914
761	0.3063434628
762	0.3061466223
763	0.3058889175
764	0.3057744293
765	0.3056274541
766	0.305568599
767	0.3054149496
768	0.3053259506
769	0.3052134734
770	0.3051268583
771	0.3050537038
772	0.304969666
773	0.3048982295
774	0.3047495974
775	0.3046334097
776	0.3046063971
777	0.3045482111
778	0.3044742698
779	0.3042736423
780	0.304198631
781	0.3040979973
782	0.3039502847
783	0.3038147472
784	0.3037778651
785	0.3036697155
786	0.303595922
787	0.3034954894
